Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
United States,USA,1993-01-01,6878718000000,2.74585671892275,66.2484245218916,10.4666887056571,9.51921564454307,259919000
United States,USA,1994-01-01,7308755000000,4.03764342486481,67.9758134970226,11.1294604895088,9.86404661258997,263126000
United States,USA,1995-01-01,7664060000000,2.71897578878193,69.8828203523109,11.7766692849482,10.6055145706062,266278000
United States,USA,1996-01-01,8100201000000,3.79588122942587,71.9312285175105,11.9005195056271,10.7107218697413,269394000
United States,USA,1997-01-01,8608515000000,4.48702649316731,73.6127576083459,12.2643220114038,11.0797971543292,272657000
United States,USA,1998-01-01,9089168000000,4.44991096328404,74.7554330587091,12.2749408966805,10.4847990487138,275854000
United States,USA,1999-01-01,9660624000000,4.68519960839866,76.391102265249,12.9247448197963,10.2682808067057,279040000
United States,USA,2000-01-01,10284779000000,4.09217644881066,78.9707207568716,14.3185381037356,10.664643353056,282162411
United States,USA,2001-01-01,10621824000000,0.975981833932124,81.2025684592531,13.137065724305,9.66607053553137,284968955
United States,USA,2002-01-01,10977514000000,1.78612768745552,82.4904668765521,13.0172733097858,9.13238644013572,287625193
United States,USA,2003-01-01,11510670000000,2.80677595648093,84.3630788186188,13.4130680490362,9.03751910184203,290107933
United States,USA,2004-01-01,12274928000000,3.78574284969444,86.6216781201728,14.669552440552,9.62536806733205,292805298
United States,USA,2005-01-01,13093726000000,3.34521606334877,89.5605323721102,15.5042651724956,9.99639827502118,295516599
United States,USA,2006-01-01,13855888000000,2.666625826122,92.4497050827274,16.218830579462,10.6547916669072,298379912
United States,USA,2007-01-01,14477635000000,1.77857023965289,95.0869923788515,16.4610241935233,11.4979069440554,301231207
United States,USA,2008-01-01,14718582000000,-0.291621458693953,98.7374773853446,17.4270116509865,12.5143984658305,304093966
United States,USA,2009-01-01,14418739000000,-2.77552957416808,98.3864199710624,13.7541708744433,11.0116564284852,306771529
United States,USA,2010-01-01,14964372000000,2.53192061616315,100,15.8041513536285,12.3783009403936,309338421
United States,USA,2011-01-01,15517926000000,1.60145467247139,103.156841568622,17.3113726666824,13.5737920131853,311644280
United States,USA,2012-01-01,16155255000000,2.22403085385714,105.291504532867,17.1080190315783,13.6066084998349,313993272
United States,USA,2013-01-01,16691517000000,1.67733152992453,106.833848874866,16.5869465309834,13.6393115137468,316234505
United States,USA,2014-01-01,17427609000000,2.56919359418927,108.566932118964,16.5436176586243,13.6200439199663,318622525
United States,USA,2015-01-01,18120714000000,2.86158702527237,108.695721960693,15.3909939751822,12.4990439118459,321039839
